,id,title,genres,popularity,production_companies,release_date,budget,revenue,runtime,vote_average,vote_count,month,year,day_of_week,weighted_vote,popularity_category
2655,16340,Rugrats in Paris: The Movie,Family,14.987,Paramount,2000-11-17,30000000.0,103291131.0,78.0,6.6,409.0,11,2000,4,6.52902767920511,High
2656,335791,When the Bough Breaks,Mystery,14.979,Screen Gems,2016-09-09,10000000.0,30658387.0,97.0,5.811,347.0,9,2016,4,6.322507052709725,High
2657,12797,Ghost Town,Drama,14.976,Spyglass Entertainment,2008-09-19,20000000.0,27090159.0,102.0,6.543,836.0,9,2008,4,6.519579520697167,High
2658,1957,Enough,Drama,14.969,Winkler Films,2002-05-21,38000000.0,51801187.0,114.0,6.6,966.0,5,2002,1,6.54913530010173,High
2659,11866,Flight of the Phoenix,Action,14.962,Optional Pictures,2004-12-17,45000000.0,21009180.0,113.0,5.959,739.0,12,2004,4,6.270098332374928,High
2660,612,Munich,Drama,14.962,DreamWorks Pictures,2005-12-23,70000000.0,130982129.0,164.0,7.1,2230.0,12,2005,4,6.914241486068112,High
2661,9966,The Messengers,Mystery,14.953,Columbia Pictures,2007-02-02,16000000.0,55060212.0,90.0,5.7,697.0,2,2007,4,6.17142015321155,High
2662,13018,Deception,Thriller,14.952,MRC,2008-04-24,25000000.0,18024545.0,107.0,5.906,561.0,4,2008,3,6.286525304292121,High
2663,269795,2:22,Science Fiction,14.952,Screen Australia,2017-06-29,15000000.0,3945729.0,99.0,6.0,1323.0,6,2017,3,6.215238915195867,High
2664,776527,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",Documentary,14.947,Mass Distraction Media,2021-07-02,15000000.0,37000000.0,117.0,7.7,142.0,7,2021,4,6.649211908931699,High
2665,49012,Arthur,Comedy,14.945,Warner Bros. Pictures,2011-04-08,40000000.0,48147945.0,110.0,5.6,653.0,4,2011,4,6.144464609800362,High
2666,1997,Two Brothers,Adventure,14.944,Canal+,2004-04-07,74500000.0,62172050.0,109.0,7.1,735.0,4,2004,2,6.754178674351585,High
2667,49494,The Eagle,Adventure,14.914,Prime Focus,2011-02-08,25000000.0,27122040.0,114.0,6.209,1142.0,2,2011,1,6.344854341736694,High
2668,401847,Can You Ever Forgive Me?,Drama,14.909,Fox Searchlight Pictures,2018-10-19,15000000.0,8586944.0,107.0,6.808,1115.0,10,2018,4,6.662373522458628,High
